 [ 7.90369849e-01  1.26564849e+00]
 [ 8.10831158e-01  1.26541688e+00]
 [ 8.21951420e-01  1.25051463e+00]
 [ 8.41743039e-01  1.24874053e+00]
 [ 8.53128800e-01  1.23441142e+00]
 [ 8.70462443e-01  1.22869181e+00]
 [ 8.94464574e-01  1.23194478e+00]
 [ 8.99407369e-01  1.20892731e+00]
 [ 9.14658484e-01  1.20002970e+00]
 [ 9.24532509e-01  1.18416302e+00]
 [ 9.53899647e-01  1.19291321e+00]
 [ 9.71417200e-01  1.18626882e+00]
 [ 9.90066060e-01  1.18075797e+00]
 [ 1.02092501e+00  1.18919259e+00]
 [ 1.03951708e+00  1.18273659e+00]
 [ 1.04915449e+00  1.16606986e+00]
 [ 1.05959914e+00  1.15048368e+00]
 [ 1.08887554e+00  1.15502204e+00]
 [ 1.10766666e+00  1.14791088e+00]
 [ 1.12282063e+00  1.13685459e+00]
 [ 1.13692356e+00  1.12466757e+00]
 [ 1.16381683e+00  1.12479496e+00]
 [ 1.16475038e+00  1.09978905e+00]
 [ 3.70569337e-01  3.41837965e-01]
 [ 3.63410399e-01  3.27494040e-01]
 [ 3.61531803e-01  3.18260809e-01]
 [ 3.49830936e-01  3.00812022e-01]
 [ 3.44814379e-01  2.89592057e-01]
 [ 3.62557342e-01  2.97372243e-01]
 [ 3.60696868e-01  2.88895472e-01]
 [ 3.59430995e-01  2.81083035e-01]
 [ 3.31906818e-01  2.53393743e-01]
 [ 3.51740533e-01  2.62117597e-01]
 [ 3.54899557e-01  2.58107184e-01]
 [ 3.45164146e-01  2.44940829e-01]
 [ 3.44323389e-01  2.38372317e-01]
 [ 3.31541133e-01  2.23864931e-01]
 [ 3.55621702e-01  2.34150011e-01]
 [ 3.51309753e-01  2.25498342e-01]
 [ 3.66296278e-01  2.29147158e-01]
 [ 3.61128393e-01  2.20112795e-01]
 [ 3.66157289e-01  2.17378553e-01]
 [ 3.47406358e-01  2.00819615e-01]
 [ 3.72918063e-01  2.09819061e-01]]
[[-1.85523762e+00  1.10140882e+00]
 [-1.84213467e+00  1.12280678e+00]
 [-1.81607831e+00  1.13609994e+00]
 [-1.78676382e+00  1.14688611e+00]
 [-1.77685210e+00  1.16992279e+00]
 [-1.73916818e+00  1.17433019e+00]
 [-1.75615951e+00  1.21577512e+00]
 [-1.71931479e+00  1.22008729e+00]
 [-1.68868642e+00  1.22812803e+00]
 [-1.67148550e+00  1.24559360e+00]
 [-1.65480543e+00  1.26335862e+00]
 [-1.65438968e+00  1.29376952e+00]
 [-1.62716587e+00  1.30325736e+00]
 [-1.59060225e+00  1.30462385e+00]
 [-1.57636189e+00  1.32390615e+00]
 [-1.56712512e+00  1.34753683e+00]
 [-1.53565272e+00  1.35185362e+00]
 [-1.52433637e+00  1.37368406e+00]
 [-1.50651816e+00  1.38971320e+00]
 [-1.48802111e+00  1.40503007e+00]
 [-1.44865044e+00  1.40007831e+00]
 [-1.44623233e+00  1.43064199e+00]
 [-1.42097172e+00  1.43873222e+00]
 [-1.40669703e+00  1.45780573e+00]
 [-1.37774900e+00  1.46144384e+00]
 [-1.37794335e+00  1.49613308e+00]
 [-1.35959390e+00  1.51110391e+00]
 [-1.32293577e+00  1.50520329e+00]
 [-1.27657648e+00  1.48698021e+00]
 [-1.22552607e+00  1.46156880e+00]
 [-1.19041555e+00  1.45370376e+00]
 [-1.14691963e+00  1.43429718e+00]
 [-1.10660805e+00  1.41736966e+00]
 [-1.06937453e+00  1.40301677e+00]
 [-1.03349406e+00  1.38915827e+00]
 [-9.96711751e-01  1.37276966e+00]
 [-9.60752742e-01  1.35614009e+00]
 [-9.33429573e-01  1.35060042e+00]
 [-9.14910027e-01  1.35728502e+00]
 [-8.76152944e-01  1.33297667e+00]
 [-8.41081857e-01  1.31262737e+00]
 [-8.09924310e-01  1.29696176e+00]
 [-7.85316145e-01  1.29072750e+00]
 [-7.72443252e-01  1.30346954e+00]
 [-7.66996406e-01  1.32928643e+00]
 [-7.47391651e-01  1.33082622e+00]
 [-7.31670107e-01  1.33907237e+00]
 [-7.12274227e-01  1.34038903e+00]
 [-7.04840367e-01  1.36445994e+00]
 [-6.88301370e-01  1.37132237e+00]
 [-6.72877917e-01  1.38040507e+00]
 [-6.59454343e-01  1.39379110e+00]
 [-6.44885643e-01  1.40503676e+00]
 [-6.33845912e-01  1.42445017e+00]
 [-6.16185023e-01  1.42928370e+00]
 [-5.99480678e-01  1.43625479e+00]
 [-5.88062421e-01  1.45631662e+00]
 [-5.67661910e-01  1.45428340e+00]
 [-5.52483075e-01  1.46548694e+00]
 [-5.39928718e-01  1.48425407e+00]
 [-5.22981937e-01  1.49143293e+00]
 [-5.09055826e-01  1.50764277e+00]
 [-4.91543350e-01  1.51363000e+00]
 [-4.76826199e-01  1.52860073e+00]
 [-4.64759409e-01  1.55323298e+00]
